Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales
1002:State of Emergency,PS2,2002,Action,Take-Two Interactive,1.76
10043:Fantastic Four: Rise of the Silver Surfer,X360,2007,Action,Take-Two Interactive,0.11
10188:Nickelodeon Dance,X360,2011,Misc,Take-Two Interactive,0.11
10314:Grand Theft Auto: San Andreas,X360,2008,Action,Take-Two Interactive,0.11
10317:The BIGS,PSP,2007,Sports,Take-Two Interactive,0.11
1036:Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,PS2,2003,Action,Take-Two Interactive,1.72
10371:Martian Gothic: Unification,PS,2001,Adventure,Take-Two Interactive,0.11
10374:WWE 2K17,X360,2016,Sports,Take-Two Interactive,0.11
1039:NBA 2K15,XOne,2014,Sports,Take-Two Interactive,1.72
10425:Top Spin,PS2,2005,Sports,Take-Two Interactive,0.1
10448:Motocross Mania 3,PS2,2004,Racing,Take-Two Interactive,0.1
10529:Dora's Big Birthday Adventure,Wii,2010,Misc,Take-Two Interactive,0.1
10583:Disney's The Haunted Mansion,GC,2003,Platform,Take-Two Interactive,0.1
1062:BioShock Infinite,PS3,2013,Shooter,Take-Two Interactive,1.69
10681:NHL 2K6,X360,2005,Sports,Take-Two Interactive,0.1
10685:College Hoops 2K6,XB,2005,Sports,Take-Two Interactive,0.1
10691:NBA 2K16,PC,2015,Sports,Take-Two Interactive,0.1
10700:Nicktoons: MLB,DS,2011,Sports,Take-Two Interactive,0.1
10716:The BIGS 2,PSP,2009,Sports,Take-Two Interactive,0.1
10718:Dora & Kai-Lan's Pet Shelter,DS,2011,Strategy,Take-Two Interactive,0.1
10799:Dora's Cooking Club,DS,2010,Misc,Take-Two Interactive,0.1
1080:Sid Meier's Civilization V,PC,2010,Strategy,Take-Two Interactive,1.68
10892:Scaler,PS2,2004,Platform,Take-Two Interactive,0.09
10902:Beaterator,PSP,2009,Misc,Take-Two Interactive,0.09
10920:Ford Mustang: The Legend Lives,XB,2005,Racing,Take-Two Interactive,0.09
10926:Dora the Explorer: Dora Saves the Crystal Kingdom,PS2,2009,Misc,Take-Two Interactive,0.09
10950:Major League Baseball 2K12,PSP,2012,Sports,Take-Two Interactive,0.09
10963:Ghostbusters: The Video Game (DS Version),PC,2010,Action,Take-Two Interactive,0.09
10990:Disney's The Haunted Mansion,XB,2003,Platform,Take-Two Interactive,0.09
10998:NHL 2K8,PS3,2007,Sports,Take-Two Interactive,0.09
11037:Major League Baseball 2K11,DS,2011,Sports,Take-Two Interactive,0.09
11050:Carnival Games: Wild West 3D,3DS,2011,Misc,Take-Two Interactive,0.09
11128:Dora's Big Birthday Adventure,DS,2010,Misc,Take-Two Interactive,0.09
11155:MLB Superstars,Wii,2008,Sports,Take-Two Interactive,0.09
11179:MLB 2K9 Fantasy All-Stars,DS,2009,Sports,Take-Two Interactive,0.09
11181:Ford Racing 3,XB,2004,Racing,Take-Two Interactive,0.09
11212:Major League Baseball 2K7,PSP,2007,Sports,Take-Two Interactive,0.09
11220:Royal Palace of White Sword and The City of Gentiles,XB,2005,Role-Playing,Take-Two Interactive,0.09
1132:NBA 2K15,X360,2014,Sports,Take-Two Interactive,1.63
1136:Max Payne 3,X360,2012,Shooter,Take-Two Interactive,1.62
11374:NHL 2K7,X360,2006,Sports,Take-Two Interactive,0.08
11400:Battleborn,PC,2016,Shooter,Take-Two Interactive,0.08
11413:Don King Boxing,DS,2009,Sports,Take-Two Interactive,0.08
11435:Fatal Frame III: The Tormented,PS2,2005,Action,Take-Two Interactive,0.08
11465:Major League Baseball 2K11,PC,2011,Sports,Take-Two Interactive,0.08
11472:Smuggler's Run: Warzones,GC,2002,Misc,Take-Two Interactive,0.08
1154:Dollar Dash,PS2,2005,Action,Take-Two Interactive,1.6
11604:MLB Front Office Manager,PS3,2009,Sports,Take-Two Interactive,0.08
11636:Diego's Build & Rescue,DS,2010,Action,Take-Two Interactive,0.08
11644:Major League Baseball 2K12,DS,2012,Sports,Take-Two Interactive,0.08
11712:Monkey Hero,PS,1998,Action,Take-Two Interactive,0.08
1190:Smuggler's Run,PS2,2000,Racing,Take-Two Interactive,1.56
1193:Carnival Games: Mini Golf,Wii,2008,Sports,Take-Two Interactive,1.56
11945:Alexi Lalas International Soccer,PS,1998,Sports,Take-Two Interactive,0.07
11996:MLB Front Office Manager,X360,2009,Sports,Take-Two Interactive,0.07
1211:Mafia II,X360,2010,Action,Take-Two Interactive,1.55
1213:BioShock 2,PS3,2010,Shooter,Take-Two Interactive,1.54
12148:Sudoku Fever,GBA,2006,Puzzle,Take-Two Interactive,0.07
12163:Major League Baseball 2K10,PSP,2010,Sports,Take-Two Interactive,0.07
12285:Wings of War,XB,2004,Simulation,Take-Two Interactive,0.06
12294:World Poker Tour,XB,2005,Misc,Take-Two Interactive,0.06
12380:Tokobot,PSP,2005,Platform,Take-Two Interactive,0.06
12395:NHL 2K9,Wii,2008,Sports,Take-Two Interactive,0.06
12502:Call of Cthulhu: Dark Corners of the Earth,XB,2005,Adventure,Take-Two Interactive,0.06
12538:Serious Sam II,XB,2005,Shooter,Take-Two Interactive,0.06
12541:JoJo's Bizarre Adventure: All Star Battle,3DS,2012,Fighting,Take-Two Interactive,0.06
12586:MLB Power Pros 2008,DS,2008,Sports,Take-Two Interactive,0.06
12631:Splat Renegade Paintball,XB,2005,Sports,Take-Two Interactive,0.06
1275:Mafia II,PS3,2010,Action,Take-Two Interactive,1.49
127:Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,6.49
12888:Major League Baseball 2K11,PSP,2011,Sports,Take-Two Interactive,0.05
1288:Major League Baseball 2K5,PS2,2005,Sports,Take-Two Interactive,1.48
13061:The BIGS 2,DS,2009,Sports,Take-Two Interactive,0.05
13095:The Bureau: XCOM Declassified,PC,2013,Shooter,Take-Two Interactive,0.05
13128:Top Spin 2,DS,2006,Sports,Take-Two Interactive,0.05
1317:Red Dead Revolver,PS2,2004,Shooter,Take-Two Interactive,1.45
13244:Major League Baseball 2K11,PS2,2011,Sports,Take-Two Interactive,0.05
1327:NBA 2K14,PS4,2013,Sports,Take-Two Interactive,1.45
13416:XCOM 2,XOne,2016,Strategy,Take-Two Interactive,0.05
13490:Fantastic Four: Rise of the Silver Surfer,Wii,2007,Action,Take-Two Interactive,0.05
1349:BioShock,PS3,2008,Shooter,Take-Two Interactive,1.42
13521:Mafia,PC,2002,Action,Take-Two Interactive,0.04
13528:Fantastic Four: Rise of the Silver Surfer,DS,2007,Action,Take-Two Interactive,0.04
13687:Torino 2006,XB,2006,Sports,Take-Two Interactive,0.04
13699:Major League Baseball 2K12,PC,2012,Sports,Take-Two Interactive,0.04
13722:Civilization Beyond Earth: Rising Tide,PC,2015,Strategy,Take-Two Interactive,0.04
13756:World Poker Tour,PSP,2006,Misc,Take-Two Interactive,0.04
13775:MLB 2K12 / NBA 2K12 Combo Pack,X360,2012,Sports,Take-Two Interactive,0.04
13783:Shattered Union,XB,2005,Strategy,Take-Two Interactive,0.04
137:Red Dead Redemption,X360,2010,Action,Take-Two Interactive,6.32
13833:Go Diego Go!: Safari Rescue,PS2,2008,Action,Take-Two Interactive,0.04
13849:The Da Vinci Code,XB,2006,Action,Take-Two Interactive,0.04
13878:Grand Theft Auto: Vice City,PC,2003,Action,Take-Two Interactive,0.04
13908:Dora's Big Birthday Adventure,PS2,2010,Misc,Take-Two Interactive,0.04
14037:Scaler,GC,2004,Platform,Take-Two Interactive,0.04
14067:Sid Meier's Railroads!,PC,2006,Simulation,Take-Two Interactive,0.04
1406:Duke Nukem: Time to Kill,PS,1998,Shooter,Take-Two Interactive,1.38
14295:Prey,PC,2006,Shooter,Take-Two Interactive,0.03
1464:NBA 2K15,PS3,2014,Sports,Take-Two Interactive,1.34
14659:NBA 2K13,PC,2012,Sports,Take-Two Interactive,0.03
1465:Max Payne 2: The Fall of Max Payne,PS2,2003,Shooter,Take-Two Interactive,1.34
14675:Royal Palace of White Sword and The City of Gentiles,PC,2009,Role-Playing,Take-Two Interactive,0.03
14789:Max Payne,GBA,2003,Shooter,Take-Two Interactive,0.03
14807:NBA 2K7,XB,2006,Sports,Take-Two Interactive,0.03
1481:Grand Theft Auto: Chinatown Wars,DS,2009,Action,Take-Two Interactive,1.32
14859:Max Payne 2: The Fall of Max Payne,PC,2003,Shooter,Take-Two Interactive,0.03
14908:Bully: Scholarship Edition,PC,2008,Action,Take-Two Interactive,0.03
15099:Stronghold 2 Deluxe,PC,2005,Strategy,Take-Two Interactive,0.02
15256:Zathura,XB,2005,Adventure,Take-Two Interactive,0.02
15361:Max Payne,PC,2001,Shooter,Take-Two Interactive,0.02
1536:Midnight Club 3: DUB Edition (America weekly sales),PS2,2005,Racing,Take-Two Interactive,1.29
1545:Manhunt,PS2,2003,Action,Take-Two Interactive,1.28
15503:Motocross Mania 3,XB,2005,Racing,Take-Two Interactive,0.02
1558:NBA 2K9,X360,2008,Sports,Take-Two Interactive,1.27
1574:Rockstar Games presents Table Tennis,Wii,2007,Sports,Take-Two Interactive,1.26
15879:Big Bass Fishing,PS,2002,Action,Take-Two Interactive,0.02
15916:Stronghold Legends,PC,2006,Strategy,Take-Two Interactive,0.02
16020:Sid Meier's Civilization Revolution 2+,PSV,2015,Strategy,Take-Two Interactive,0.02
16124:NBA 2K17,PC,2016,Sports,Take-Two Interactive,0.01
16173:World Poker Tour,GBA,2005,Misc,Take-Two Interactive,0.01
16195:Grand Theft Auto III,PC,2002,Action,Take-Two Interactive,0.01
16213:Serious Sam II,PC,2005,Shooter,Take-Two Interactive,0.01
16458:NHL 2K7,XB,2006,Sports,Take-Two Interactive,0.01
1649:Max Payne,XB,2001,Shooter,Take-Two Interactive,1.22
1660:WWE 2K16,PS4,2015,Sports,Take-Two Interactive,1.21
167:Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,5.48
1732:Grand Theft Auto V,PC,2015,Action,Take-Two Interactive,1.17
1743:Midnight Club 3: DUB Edition Remix,PS2,2006,Racing,Take-Two Interactive,1.16
1777:WWE 2K15,PS4,2014,Sports,Take-Two Interactive,1.15
1780:Action Bass,PS,2000,Action,Take-Two Interactive,1.14
